user_id,employee_id,name,email,department_id,role,privilege_level,office_location,employment_status,created_at
1,SVC00001,Allison Hill,donaldgarcia@example.net,7,Service Account,5,New Roberttown,Active,2026-03-05 20:41:39.663777
2,EMP00002,David Guzman,jennifermiles@example.com,5,Contractor,1,South Bridget,Active,2026-04-05 20:41:39.664163
3,EMP00003,Abigail Shaffer,jpeterson@example.org,6,Contractor,3,Curtisfurt,Active,2026-04-07 20:41:39.664480
4,EMP00004,Ryan Munoz,blairamanda@example.com,6,Remote Employee,1,Remote,Active,2026-05-09 20:41:39.664776
5,EMP00005,Edward Fuller,barbara10@example.net,2,Contractor,3,Port Keith,Active,2025-12-31 20:41:39.665061
6,SVC00006,David Garcia,shawn52@example.com,5,Service Account,5,Jasonview,Active,2026-06-03 20:41:39.665343
7,EMP00007,Melinda Jones,amandasanchez@example.com,2,Contractor,4,Nelsonside,Active,2026-05-16 20:41:39.665746
8,SVC00008,Frederick Tate,perezantonio@example.com,5,Service Account,5,Adamsborough,Active,2025-08-08 20:41:39.666116
9,SVC00009,Latoya Robbins,dianafoster@example.net,6,Service Account,5,Thomasberg,Active,2025-09-03 20:41:39.666490
10,EMP00010,Justin Baker,zhurst@example.com,2,Remote Employee,1,Remote,Active,2026-03-01 20:41:39.666720
11,EMP00011,Zachary Hicks,camposmichelle@example.org,2,Hybrid Worker,2,Port Erin,Active,2026-05-05 20:41:39.667067
12,EMP00012,Janice Carlson,jrice@example.org,5,Contractor,4,Lake Nicoleview,Active,2025-08-04 20:41:39.667365
13,EMP00013,Gina Carter,shawnmckay@example.net,3,Hybrid Worker,3,Teresaburgh,Active,2025-12-26 20:41:39.667731
14,EMP00014,Ashley Garrett,ericfarmer@example.net,5,Remote Employee,1,Remote,Active,2025-08-18 20:41:39.668015
15,EMP00015,Tammy Sellers,tracy15@example.com,4,Remote Employee,2,Remote,Active,2025-11-01 20:41:39.668223
16,EMP00016,David Bradley,millertodd@example.org,5,Contractor,5,East Donna,Active,2026-03-05 20:41:39.668569
17,EMP00017,Carmen Rose,ibrandt@example.net,1,Hybrid Worker,2,Lake Larry,Active,2026-06-09 20:41:39.668881
18,EMP00018,Marie Kim DDS,wrightcaleb@example.org,7,Hybrid Worker,3,New Jeffrey,Active,2026-05-23 20:41:39.669249
19,EMP00019,Mark Perez,heathchad@example.org,6,Remote Employee,2,Remote,Active,2025-07-25 20:41:39.669532
20,EMP00020,John Ryan,esanchez@example.com,7,Contractor,4,North Collin,Active,2026-04-13 20:41:39.669840
21,EMP00021,Jeff Owens,nuneztracey@example.org,3,Hybrid Worker,2,South Jessicaville,Active,2025-09-11 20:41:39.670189
22,SVC00022,Connor West,dwhite@example.org,5,Service Account,5,South Lindseyside,Active,2025-08-30 20:41:39.670482
23,EMP00023,Matthew Fernandez,novaksara@example.org,7,Contractor,3,South Todd,Active,2026-03-05 20:41:39.670821
24,EMP00024,James Brown,ysmith@example.com,8,Remote Employee,1,Remote,Active,2026-06-01 20:41:39.671046
25,EMP00025,Rachel Mitchell,smoore@example.org,3,Office Worker,2,New Jillton,Active,2025-11-21 20:41:39.671347
